DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN
31/1/1981,98.77,21.75,32.25,59.06,2.5,0.48,,,0,
28/2/1981,98.56,26.19,22.19,71.06,2.54,0.44,,,0,
31/3/1981,98.44,30.58,27.81,86.5,2.05,0.41,,,5.27,
30/4/1981,98.33,31.62,41.81,201.12,2.6,0.41,,,31.64,
31/5/1981,98.5,29.76,63.81,232.19,2.76,0.44,,,63.28,
30/6/1981,98.65,29.24,66.88,220.25,2.53,0.48,,,226.76,
31/7/1981,98.71,26.22,80.5,228.06,2.12,0.59,,,226.76,
31/8/1981,98.71,25.94,82.75,226.25,1.7,0.62,,,221.48,
30/9/1981,98.72,25.77,83.62,222.06,1.56,0.73,,,205.66,
31/10/1981,98.6,26.53,74.88,204.44,1.38,0.66,,,0,
30/11/1981,98.7,23.57,50.94,89,1.88,0.55,,,0,
31/12/1981,98.7,23.46,35.69,79.81,2.02,0.48,,,0,
31/1/1982,98.66,24.12,24.94,41.94,2.52,0.44,,,0,
28/2/1982,98.53,26.64,26.62,65.75,2.46,0.42,,,10.55,
31/3/1982,98.41,30.31,29,70.38,2.66,0.41,,,5.27,
30/4/1982,98.32,31.87,46.81,234.5,2.85,0.41,,,36.91,
31/5/1982,98.51,29.34,66.56,229.31,2.74,0.45,,,131.84,
30/6/1982,98.74,28.13,70.62,218.94,2.34,0.48,,,147.66,
31/7/1982,98.73,26.79,76.06,223,2.16,0.52,,,147.66,
31/8/1982,98.74,25.87,80.62,223.75,1.94,0.53,,,163.48,
30/9/1982,98.69,26.83,77.56,217.31,1.56,0.55,,,110.74,
31/10/1982,98.59,27.23,70.44,220.12,1.66,0.51,,,58.01,
30/11/1982,98.67,24.69,43.5,89.12,1.79,0.47,,,5.27,
31/12/1982,98.7,24.4,28.5,58.12,2.4,0.43,,,0,
31/1/1983,98.98,21.69,19.88,60.25,3.54,0.41,,,0,
28/2/1983,98.6,28.43,18.69,68.31,2.76,0.41,,,0,
31/3/1983,98.53,29.6,15.94,66.5,3.19,0.4,,,0,
30/4/1983,98.3,33.31,32.38,151.38,2.18,0.4,,,15.82,
31/5/1983,98.32,32.8,50.56,220.75,2.88,0.41,,,79.1,
30/6/1983,98.66,27.82,75.69,224.38,2.32,0.52,,,247.85,
31/7/1983,98.68,27,78.88,225.19,2.07,0.56,,,163.48,
31/8/1983,98.81,26.76,76.81,214.56,1.81,0.55,,,116.02,
30/9/1983,98.72,26.55,77.81,202.19,1.69,0.56,,,195.12,
31/10/1983,98.68,26.53,59.75,130.12,1.65,0.53,,,0,
30/11/1983,98.74,26.62,41.25,104.06,1.72,0.46,,,0,
31/12/1983,98.7,25.8,30.62,75.06,1.93,0.43,,,0,
31/1/1984,98.68,23.94,20.56,72.75,2.6,0.41,21.95,31.21,0,21.63
