DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN,SPI6,Moving_Sum_6
31/1/1981,98.05,22.05,34.62,58.69,2.73,0.55,,,0.0,,,
28/2/1981,97.85,26.33,24.62,73.88,2.71,0.52,,,0.0,,,
31/3/1981,97.75,30.48,34.56,105.81,2.16,0.51,,,5.27,,,
30/4/1981,97.66,30.79,50.38,215.5,2.62,0.5,,,42.19,,,
31/5/1981,97.85,28.11,71.88,233.12,2.42,0.52,,,94.92,,,
30/6/1981,97.99,28.12,71.06,220.44,2.39,0.54,,,226.76,,-0.11121593717438079,369.14
31/7/1981,98.03,25.51,82.5,230.19,2.16,0.62,,,237.3,,0.7478923474574061,606.44
31/8/1981,98.02,25.32,84.0,231.25,1.62,0.66,,,242.58,,1.6261160629482563,849.02
30/9/1981,98.04,25.25,84.19,222.94,1.49,0.75,,,184.57,,2.27524423587063,1028.32
31/10/1981,97.92,26.27,75.75,201.06,1.42,0.71,,,0.0,,2.1225018063358005,986.13
30/11/1981,97.99,23.39,55.12,82.44,2.05,0.63,,,0.0,,1.7788584924830861,891.21
31/12/1981,97.99,23.15,42.62,74.19,2.12,0.58,,,0.0,,0.9579086626343548,664.45
31/1/1982,97.95,23.79,28.69,42.44,2.69,0.54,,,0.0,,0.09880037800256794,427.15
28/2/1982,97.83,26.07,33.44,65.69,2.48,0.52,,,15.82,,-0.7221494518461633,200.39
31/3/1982,97.73,29.35,36.56,72.44,2.53,0.51,,,10.55,,-1.3521621939094735,26.37
30/4/1982,97.67,30.7,54.38,237.56,2.91,0.5,,,36.91,,-1.2185351952337073,63.28
31/5/1982,97.85,28.14,71.94,231.19,2.56,0.52,,,126.56,,-0.7603441100967546,189.84
30/6/1982,98.07,27.27,74.12,220.81,2.21,0.53,,,147.66,,-0.22576370845861896,337.5
31/7/1982,98.05,25.99,78.69,223.06,2.01,0.56,,,158.2,,0.34697514796257206,495.7
31/8/1982,98.06,25.05,83.31,226.75,1.97,0.59,,,189.84,,0.9769878900258824,669.72
30/9/1982,98.01,26.05,80.5,215.94,1.48,0.62,,,163.48,,1.530647519055546,822.6500000000001
31/10/1982,97.92,26.22,75.69,222.69,1.6,0.61,,,79.1,,1.6833899485903752,864.8399999999999
30/11/1982,97.96,24.43,49.0,84.75,1.83,0.57,,,0.0,,1.2251988634534223,738.28
31/12/1982,97.98,24.18,32.31,56.75,2.52,0.53,,,0.0,,0.6906184618152864,590.6199999999999
31/1/1983,98.24,21.68,22.19,60.94,3.82,0.51,,,0.0,,0.11787960539409555,432.41999999999996
28/2/1983,97.89,28.44,21.31,66.75,2.88,0.5,,,0.0,,-0.5694070223113337,242.57999999999998
31/3/1983,97.83,29.56,17.56,68.88,3.42,0.49,,,0.0,,-1.1612613095915885,79.1
30/4/1983,97.63,32.34,43.12,208.31,2.24,0.48,,,21.09,,-1.3712776247685372,21.09
31/5/1983,97.68,31.19,57.75,226.19,2.85,0.48,,,100.2,,-1.0085188800567586,121.29
30/6/1983,97.99,27.04,78.19,227.25,2.2,0.56,,,221.48,,-0.20668448106709134,342.77
31/7/1983,98.0,26.29,80.88,228.06,1.99,0.59,,,163.48,,0.38516980621316355,506.25
31/8/1983,98.13,26.19,78.0,216.38,1.8,0.59,,,89.65,,0.7097338926743505,595.9
30/9/1983,98.03,25.92,78.94,197.44,1.62,0.59,,,168.75,,1.3206674073461329,764.65
31/10/1983,97.97,26.86,57.62,122.56,1.85,0.57,,,0.0,,1.244314294312486,743.56
30/11/1983,98.02,27.19,38.5,98.5,1.92,0.53,,,0.0,,0.8815555496007079,643.36
31/12/1983,97.98,26.23,31.88,73.88,2.09,0.52,,,0.0,,0.07972115061104035,421.88
31/1/1984,97.95,24.42,22.38,71.88,2.77,0.5,26.47,31.21,0.0,21.23,-0.5121331366692146,258.4
29/2/1984,97.75,26.79,18.75,55.69,2.87,0.49,20.23,34.0,0.0,21.17,-0.8366972231304014,168.75000000000003
31/3/1984,97.59,30.69,34.0,250.0,2.7,0.48,54.59,36.64,0.0,23.29,-1.447630737802184,0.0
30/4/1984,97.61,31.05,50.56,230.75,3.1,0.48,70.91,37.84,58.01,23.32,-1.237614422625235,58.010000000000026
31/5/1984,97.72,28.2,70.88,213.25,2.72,0.5,63.15,37.7,105.47,22.94,-0.8557764505219291,163.48000000000002
30/6/1984,97.92,27.48,72.19,223.25,2.34,0.52,60.88,37.28,94.92,21.77,-0.5121331366692143,258.40000000000003
31/7/1984,97.93,26.55,74.25,207.94,2.05,0.52,67.8,37.31,163.48,20.33,0.07972115061104035,421.88
31/8/1984,97.99,26.23,77.06,210.0,1.8,0.54,64.86,37.46,94.92,20.83,0.42336446446375486,516.8
30/9/1984,97.94,25.51,82.0,213.44,1.79,0.56,68.46,36.73,200.39,19.96,1.148845750419776,717.19
31/10/1984,97.88,26.4,71.5,195.0,1.67,0.57,56.76,34.59,47.46,20.47,1.1106510921691843,706.64
30/11/1984,97.88,27.3,43.69,108.25,1.79,0.53,29.98,31.8,0.0,20.64,0.7288131200658781,601.17
31/12/1984,97.89,24.37,29.62,69.38,2.5,0.52,31.34,30.23,0.0,17.32,0.38516980621316355,506.25
31/1/1985,97.83,26.47,26.06,53.06,2.52,0.5,38.88,31.27,0.0,18.97,-0.20668448106709134,342.77
28/2/1985,97.95,25.14,12.31,66.5,3.3,0.49,27.89,34.03,0.0,22.83,-0.550327794919806,247.85
31/3/1985,97.58,30.9,27.12,151.31,2.61,0.48,62.48,36.62,0.0,22.4,-1.2758090808758267,47.46
30/4/1985,97.64,31.33,37.69,209.44,2.23,0.48,63.95,37.84,10.55,21.99,-1.4094360795515926,10.55
31/5/1985,97.72,30.15,60.31,230.31,3.19,0.48,67.72,37.7,42.19,23.68,-1.256693650016763,52.739999999999995
30/6/1985,98.01,27.69,70.25,216.69,2.5,0.5,57.02,37.27,131.84,21.17,-0.7793871340207463,184.57999999999998
31/7/1985,98.05,25.38,80.44,216.12,1.93,0.54,67.15,37.3,205.66,19.56,-0.034826620673197826,390.24
31/8/1985,98.02,25.13,84.06,214.56,1.59,0.61,63.76,37.46,242.58,19.13,0.8433970948176527,632.82
30/9/1985,97.96,25.05,84.69,217.38,1.54,0.67,60.02,36.73,184.57,20.63,1.5116044951315541,817.39
31/10/1985,97.91,25.8,71.25,128.75,1.45,0.64,31.6,34.6,21.09,22.13,1.5497629499146097,827.9300000000001
30/11/1985,97.88,26.12,53.62,98.56,1.82,0.58,25.95,31.82,0.0,21.32,1.3970205203797799,785.74
31/12/1985,97.96,23.08,35.19,57.31,2.59,0.54,31.3,30.23,0.0,18.83,0.9197140043837635,653.9000000000001
31/1/1986,97.98,23.87,23.56,56.19,2.56,0.52,17.26,31.25,0.0,19.33,0.17515349103621483,448.24
28/2/1986,97.74,28.94,25.0,69.75,2.52,0.5,26.03,34.0,0.0,21.42,-0.7030702244546355,205.66000000000003
31/3/1986,97.71,30.16,36.94,203.12,2.3,0.49,57.75,36.6,5.27,22.53,-1.3521983973770095,26.360000000000028
30/4/1986,97.59,30.97,55.75,230.75,2.89,0.49,70.61,37.84,26.37,21.89,-1.3330829665179456,31.64000000000003
