DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN,Moving_Sum_6,SPI6
31/1/1981,98.13,21.57,43.12,53.31,2.24,0.53,,,0.0,,,
28/2/1981,97.94,25.87,34.75,74.88,2.15,0.49,,,0.0,,,
31/3/1981,97.86,29.33,42.81,131.75,2.0,0.46,,,5.27,,,
30/4/1981,97.76,30.55,53.5,206.38,2.55,0.45,,,47.46,,,
31/5/1981,97.93,28.35,70.0,222.0,2.36,0.45,,,84.38,,,
30/6/1981,98.09,27.91,71.31,213.81,2.27,0.47,,,179.3,,316.41,-0.4358169032550658
31/7/1981,98.13,25.41,82.81,226.06,2.05,0.55,,,258.4,,574.81,0.3636023128041763
31/8/1981,98.12,25.33,83.19,224.81,1.57,0.59,,,205.66,,780.47,0.9998583343782624
30/9/1981,98.13,25.24,83.75,217.81,1.48,0.66,,,189.84,,965.04,1.5708676405239834
31/10/1981,98.0,26.34,74.5,182.88,1.45,0.62,,,0.0,,917.5799999999999,1.4240393278530405
30/11/1981,98.07,23.84,54.5,82.5,1.88,0.55,,,0.0,,833.2,1.1629905915872558
31/12/1981,98.07,24.04,41.88,87.12,1.77,0.51,,,0.0,,653.9000000000001,0.608285229979585
31/1/1982,98.02,24.28,35.06,44.0,2.31,0.47,,,0.0,,395.5,-0.19113398607965765
28/2/1982,97.92,26.08,39.5,81.75,2.34,0.45,,,21.09,,210.93,-0.7621432922253788
31/3/1982,97.82,29.48,38.25,113.38,2.43,0.43,,,5.27,,26.36,-1.3331525983711001
30/4/1982,97.76,30.58,56.31,224.56,2.72,0.42,,,58.01,,84.37,-1.1536854593478931
31/5/1982,97.94,28.27,71.06,223.5,2.34,0.45,,,137.11,,221.48000000000002,-0.7295044658731148
30/6/1982,98.17,26.8,76.62,217.31,2.05,0.48,,,179.3,,400.78000000000003,-0.17479910426544393
31/7/1982,98.14,25.98,77.88,214.75,1.86,0.51,,,121.29,,522.07,0.20043911831902014
31/8/1982,98.16,25.04,82.56,225.75,1.93,0.53,,,184.57,,685.5500000000001,0.7062017090363768
30/9/1982,98.1,26.34,78.0,209.88,1.5,0.54,,,94.92,,775.2,0.9835543898402122
31/10/1982,98.0,26.94,70.44,189.0,1.8,0.51,,,73.83,,791.0200000000001,1.0324971607305267
30/11/1982,98.05,24.89,50.06,92.56,1.81,0.48,,,0.0,,653.9100000000001,0.6083161672557482
31/12/1982,98.06,24.4,37.75,69.0,2.06,0.45,,,0.0,,474.61,0.05361080564807716
31/1/1983,98.31,21.47,27.44,56.88,3.37,0.43,,,0.0,,353.32,-0.3216274169363869
28/2/1983,97.97,28.38,28.31,82.88,2.51,0.42,,,0.0,,168.75,-0.8926367230821081
31/3/1983,97.91,29.38,21.69,74.19,2.85,0.41,,,0.0,,73.83,-1.186293348423994
30/4/1983,97.72,32.73,41.75,182.19,2.21,0.41,,,5.27,,5.27,-1.3983993137994648
31/5/1983,97.78,31.1,57.12,207.38,2.73,0.41,,,105.47,,110.74,-1.072103862105315
30/6/1983,98.09,26.62,79.75,221.88,2.08,0.49,,,253.12,,363.86,-0.2890195278602862
31/7/1983,98.1,26.2,80.56,220.62,1.91,0.54,,,184.57,,548.4300000000001,0.28198977828543514
31/8/1983,98.23,25.8,79.31,217.56,1.79,0.54,,,131.84,,680.27,0.6898668272221629
30/9/1983,98.14,25.5,81.25,197.19,1.58,0.58,,,205.66,,885.9300000000001,1.326122848796249
31/10/1983,98.08,26.04,64.44,130.38,1.62,0.56,,,0.0,,880.6600000000001,1.3098189042581987
30/11/1983,98.13,26.18,47.81,109.44,1.82,0.5,,,0.0,,775.19,0.9835234525640489
31/12/1983,98.07,25.75,44.62,95.31,1.73,0.47,,,0.0,,522.0699999999999,0.2004391183190198
