DATE,PS(t),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1),SPI6(t)
1981-11-30,97.99,23.39,84.19,1.42,0.63,242.58,2.1225018063358005,1.778858492483086
1981-12-31,97.99,23.15,75.75,2.05,0.58,184.57,1.778858492483086,0.9579086626343548
1982-01-31,97.95,23.79,55.12,2.12,0.54,0.0,0.9579086626343548,0.0988003780025679
1982-02-28,97.83,26.07,42.62,2.69,0.52,0.0,0.0988003780025679,-0.7221494518461633
1982-03-31,97.73,29.35,28.69,2.48,0.51,0.0,-0.7221494518461633,-1.3521621939094737
1982-04-30,97.67,30.7,33.44,2.53,0.5,0.0,-1.3521621939094737,-1.2185351952337071
1982-05-31,97.85,28.14,36.56,2.91,0.52,15.82,-1.2185351952337071,-0.7603441100967546
1982-06-30,98.07,27.27,54.38,2.56,0.53,10.55,-0.7603441100967546,-0.2257637084586189
1982-07-31,98.05,25.99,71.94,2.21,0.56,36.91,-0.2257637084586189,0.346975147962572
1982-08-31,98.06,25.05,74.12,2.01,0.59,126.56,0.346975147962572,0.9769878900258824
1982-09-30,98.01,26.05,78.69,1.97,0.62,147.66,0.9769878900258824,1.530647519055546
1982-10-31,97.92,26.22,83.31,1.48,0.61,158.2,1.530647519055546,1.6833899485903752
1982-11-30,97.96,24.43,80.5,1.6,0.57,189.84,1.6833899485903752,1.2251988634534223
1982-12-31,97.98,24.18,75.69,1.83,0.53,163.48,1.2251988634534223,0.6906184618152864
1983-01-31,98.24,21.68,49.0,2.52,0.51,79.1,0.6906184618152864,0.1178796053940955
1983-02-28,97.89,28.44,32.31,3.82,0.5,0.0,0.1178796053940955,-0.5694070223113337
1983-03-31,97.83,29.56,22.19,2.88,0.49,0.0,-0.5694070223113337,-1.1612613095915885
1983-04-30,97.63,32.34,21.31,3.42,0.48,0.0,-1.1612613095915885,-1.3712776247685372
1983-05-31,97.68,31.19,17.56,2.24,0.48,0.0,-1.3712776247685372,-1.0085188800567586
1983-06-30,97.99,27.04,43.12,2.85,0.56,0.0,-1.0085188800567586,-0.2066844810670913
1983-07-31,98.0,26.29,57.75,2.2,0.59,21.09,-0.2066844810670913,0.3851698062131635
1983-08-31,98.13,26.19,78.19,1.99,0.59,100.2,0.3851698062131635,0.7097338926743505
1983-09-30,98.03,25.92,80.88,1.8,0.59,221.48,0.7097338926743505,1.3206674073461329
