DATE,SPI6(t),PS(t-1),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1),WD2M(t-3)
1981-11-30,1.330927459093724,97.71,23.76,83.75,1.43,0.62,258.4,1.6525226088002796,227.06
1981-12-31,0.7216298221646582,97.77,23.72,75.88,1.97,0.57,152.93,1.330927459093724,215.19
1982-01-31,-0.1415739254758408,97.76,24.19,56.12,1.92,0.54,0.0,0.7216298221646582,190.75
1982-02-28,-0.8862817357194734,97.73,26.06,43.56,2.5,0.52,0.0,-0.1415739254758408,83.5
1982-03-31,-1.326340727498573,97.62,28.91,29.94,2.33,0.51,0.0,-0.8862817357194734,77.12
1982-04-30,-1.1909305541840065,97.53,30.36,38.62,2.31,0.5,0.0,-1.326340727498573,43.0
1982-05-31,-0.8524211685597513,97.48,27.96,42.0,2.75,0.52,26.37,-1.1909305541840065,68.19
1982-06-30,-0.3785016096209296,97.65,26.82,57.44,2.3,0.53,15.82,-0.8524211685597513,102.5
1982-07-31,0.1631069883130143,97.87,25.71,72.38,2.06,0.56,42.19,-0.3785016096209296,231.75
1982-08-31,0.7554903893243802,97.85,24.69,75.81,1.88,0.59,105.47,0.1631069883130143,226.31
1982-09-30,1.1616888139437576,97.86,25.95,78.88,1.91,0.62,147.66,0.7554903893243802,215.19
1982-10-31,1.3309274590937246,97.81,26.1,84.12,1.44,0.61,168.75,1.1616888139437576,216.0
1982-11-30,0.9924180734694692,97.72,24.73,80.12,1.55,0.57,210.94,1.3309274590937246,224.38
1982-12-31,0.5184985145306477,97.73,24.47,75.88,1.75,0.54,142.38,0.9924180734694692,206.94
1983-01-31,-0.0231100834032963,97.75,21.89,51.06,2.34,0.52,94.92,0.5184985145306477,209.5
1983-02-28,-0.7001288546518067,97.99,28.72,34.12,3.68,0.51,0.0,-0.0231100834032963,86.25
1983-03-31,-1.1571020823486065,97.66,29.63,23.69,2.62,0.49,0.0,-0.7001288546518067,58.06
1983-04-30,-1.3771155305759952,97.6,32.04,23.5,3.22,0.49,0.0,-1.1571020823486065,59.0
1983-05-31,-1.02169190903404,97.44,30.64,19.5,2.21,0.49,0.0,-1.3771155305759952,67.75
1983-06-30,-0.2769840987904073,97.5,26.73,47.69,2.59,0.56,0.0,-1.02169190903404,70.0
1983-07-31,0.298485066303259,97.8,26.01,60.19,2.03,0.6,26.37,-0.2769840987904073,211.44
1983-08-31,0.6708550190872362,97.81,25.75,79.31,1.86,0.59,110.74,0.298485066303259,219.56
1983-09-30,1.2463241841809023,97.93,25.52,81.38,1.73,0.61,232.03,0.6708550190872362,222.19
1983-10-31,1.1616888139437582,97.84,26.62,79.44,1.56,0.59,179.3,1.2463241841809023,224.12
1983-11-30,0.8062651924018029,97.77,26.98,80.12,1.81,0.55,116.02,1.1616888139437582,214.62
1983-12-31,0.0615573821581701,97.81,26.46,60.5,1.91,0.52,179.3,0.8062651924018029,191.0
1984-01-31,-0.513911782935496,97.76,24.73,41.75,1.96,0.51,0.0,0.0615573821581701,130.12
1984-02-29,-0.8862817357194732,97.72,27.1,36.12,2.54,0.5,0.0,-0.513911782935496,103.88
1984-03-31,-1.4617509008131395,97.52,30.46,25.69,2.65,0.49,0.0,-0.8862817357194732,79.81
1984-04-30,-1.2417374525857503,97.39,30.35,21.31,2.46,0.49,0.0,-1.4617509008131395,72.0
1984-05-31,-0.8693674998017732,97.42,27.5,39.44,2.94,0.52,0.0,-1.2417374525857503,55.56
1984-06-30,-0.5647186813372401,97.53,27.23,54.81,2.49,0.52,0.0,-0.8693674998017732,238.0
1984-07-31,-0.0231100834032961,97.72,26.12,74.44,2.23,0.53,68.55,-0.5647186813372401,225.38
1984-08-31,0.332313538138659,97.74,25.94,72.81,1.95,0.55,116.02,-0.0231100834032961,211.0
1984-09-30,1.0093323093871696,97.8,25.24,75.69,1.73,0.58,94.92,0.332313538138659,218.44
1984-10-31,0.9416432703920476,97.74,26.16,77.88,1.7,0.59,168.75,1.0093323093871696,202.31
1984-11-30,0.5692733176080703,97.68,27.25,82.69,1.6,0.55,110.74,0.9416432703920476,202.69
1984-12-31,0.264624499143537,97.67,24.55,73.12,1.76,0.52,210.94,0.5692733176080703,209.56
1985-01-31,-0.2769840987904071,97.67,26.76,46.94,2.26,0.51,47.46,0.264624499143537,190.81
1985-02-28,-0.6324077203323625,97.6,25.28,32.19,2.33,0.5,0.0,-0.2769840987904071,120.62
1985-03-31,-1.3094264915808729,97.72,30.83,29.12,3.06,0.49,0.0,-0.6324077203323625,70.62
1985-04-30,-1.4278903336534172,97.38,31.04,14.19,2.52,0.48,0.0,-1.3094264915808729,54.31
1985-05-31,-1.2755659244211508,97.45,29.57,32.12,2.29,0.48,0.0,-1.4278903336534172,65.69
1985-06-30,-0.9031959716371736,97.53,27.31,43.88,2.86,0.5,0.0,-1.2755659244211508,199.38
1985-07-31,-0.1415739254758406,97.83,24.96,62.62,2.38,0.55,10.55,-0.9031959716371736,215.44
1985-08-31,0.7216298221646582,97.86,24.69,70.94,1.74,0.62,47.46,-0.1415739254758406,225.69
1985-09-30,1.2463241841809023,97.82,24.89,81.81,1.62,0.69,116.02,0.7216298221646582,210.44
1985-10-31,1.2801526560163026,97.75,25.65,85.19,1.46,0.66,237.3,1.2463241841809023,215.69
1985-11-30,1.127828246784036,97.7,26.12,84.31,1.42,0.59,268.95,1.2801526560163026,216.75
1985-12-31,0.7554582940000586,97.67,23.34,73.06,1.69,0.55,163.48,1.127828246784036,205.88
1986-01-31,-0.0061637521612743,97.73,24.06,57.19,2.38,0.52,21.09,0.7554582940000586,137.56
1986-02-28,-0.8693674998017732,97.76,29.12,37.81,2.34,0.51,0.0,-0.0061637521612743,113.38
1986-03-31,-1.343287058740595,97.53,29.75,26.06,2.26,0.5,0.0,-0.8693674998017732,56.12
