DATE,SPI6(t),PS(t-1),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1),WD2M(t-3)
1981-11-30,1.2088665603434512,97.78,23.9,84.0,1.44,0.57,221.48,1.4970574627469226,224.25
1981-12-31,0.6494579620584296,97.84,24.02,74.88,1.98,0.52,179.3,1.2088665603434512,218.31
1982-01-31,-0.1472862115132438,97.83,24.15,54.0,1.88,0.48,0.0,0.6494579620584296,188.88
1982-02-28,-0.7914644037344567,97.79,26.1,41.38,2.39,0.47,0.0,-0.1472862115132438,82.44
1982-03-31,-1.3509051482439516,97.69,29.25,32.62,2.35,0.45,0.0,-0.7914644037344567,79.56
1982-04-30,-1.198339166893491,97.59,30.43,38.19,2.43,0.45,0.0,-1.3509051482439516,42.69
1982-05-31,-0.8423518770757502,97.54,28.18,39.31,2.79,0.46,21.09,-1.198339166893491,72.62
1982-06-30,-0.3168253993856267,97.72,26.7,57.12,2.35,0.49,5.27,-0.8423518770757502,109.62
1982-07-31,0.1239314843683056,97.94,25.79,71.38,2.1,0.52,47.46,-0.3168253993856267,226.12
1982-08-31,0.6155436952390583,97.92,24.75,76.69,1.91,0.54,110.74,0.1239314843683056,224.38
1982-09-30,0.9545899247593504,97.93,26.11,78.38,1.95,0.55,163.48,0.6155436952390583,215.62
1982-10-31,1.0223863121736192,97.88,26.69,83.75,1.5,0.53,137.11,0.9545899247593504,215.25
1982-11-30,0.6663990223558782,97.77,25.13,78.88,1.71,0.5,174.02,1.0223863121736192,223.38
1982-12-31,0.1408725446657545,97.8,24.59,71.56,1.88,0.47,110.74,0.6663990223558782,209.31
1983-01-31,-0.2998843390881778,97.82,21.69,47.94,2.27,0.45,68.55,0.1408725446657545,200.19
1983-02-28,-0.8592929373731991,98.07,28.59,34.31,3.6,0.44,0.0,-0.2998843390881778,88.25
1983-03-31,-1.21528022719094,97.74,29.54,25.06,2.59,0.43,0.0,-0.8592929373731991,62.12
1983-04-30,-1.4017283291362983,97.67,32.58,24.94,3.11,0.43,0.0,-1.21528022719094,58.0
1983-05-31,-1.045741039318557,97.49,30.98,20.12,2.31,0.43,0.0,-1.4017283291362983,75.19
1983-06-30,-0.2659379260443331,97.56,26.61,43.31,2.72,0.52,0.0,-1.045741039318557,71.31
1983-07-31,0.3104438787626108,97.86,26.06,57.94,2.09,0.55,10.55,-0.2659379260443331,199.19
1983-08-31,0.7512007625165429,97.88,25.69,79.88,1.92,0.55,110.74,0.3104438787626108,213.81
1983-09-30,1.395378954737756,98.0,25.39,81.0,1.8,0.58,242.58,0.7512007625165429,220.5
1983-10-31,1.361464687918385,97.91,26.18,79.69,1.59,0.56,179.3,1.395378954737756,222.06
1983-11-30,1.005477398100644,97.85,26.55,80.94,1.74,0.51,137.11,1.361464687918385,215.31
1983-12-31,0.2256742848264191,97.89,26.09,62.62,1.91,0.48,200.39,1.005477398100644,194.12
1984-01-31,-0.3507075199805244,97.83,24.25,44.5,1.85,0.46,0.0,0.2256742848264191,131.38
1984-02-29,-0.7914644037344568,97.8,26.81,40.44,2.39,0.45,0.0,-0.3507075199805244,104.75
1984-03-31,-1.4356425959556696,97.59,30.69,30.0,2.56,0.44,0.0,-0.7914644037344568,85.38
1984-04-30,-1.3339319417220292,97.45,30.79,25.12,2.44,0.43,0.0,-1.4356425959556696,75.62
1984-05-31,-0.9101161182655458,97.48,27.65,38.88,3.04,0.45,0.0,-1.3339319417220292,60.56
1984-06-30,-0.5880109490427028,97.6,27.45,52.25,2.6,0.47,0.0,-0.9101161182655458,229.19
1984-07-31,-0.1133397984693994,97.79,26.15,73.19,2.3,0.48,31.64,-0.5880109490427028,220.56
1984-08-31,0.2596206978702639,97.81,26.05,71.38,1.98,0.49,131.84,-0.1133397984693994,211.69
1984-09-30,0.8698846232721056,97.87,25.28,74.75,1.8,0.52,100.2,0.2596206978702639,219.06
1984-10-31,0.954654217208297,97.81,26.18,76.69,1.71,0.54,147.66,0.8698846232721056,203.38
1984-11-30,0.5308383937518135,97.75,26.81,82.31,1.62,0.49,116.02,0.954654217208297,201.25
1984-12-31,0.2087332245289702,97.75,24.26,72.69,1.88,0.47,189.84,0.5308383937518135,207.69
1985-01-31,-0.2659379260443332,97.74,26.57,47.44,2.2,0.45,58.01,0.2087332245289702,190.31
1985-02-28,-0.6388984223839964,97.67,25.04,35.56,2.34,0.44,0.0,-0.2659379260443332,118.38
1985-03-31,-1.2491623477858382,97.79,30.93,31.12,2.95,0.43,0.0,-0.6388984223839964,72.94
1985-04-30,-1.4017283291362983,97.44,31.13,16.06,2.52,0.43,0.0,-1.2491623477858382,55.81
1985-05-31,-1.215248080966467,97.51,30.04,33.81,2.3,0.42,0.0,-1.4017283291362983,65.25
1985-06-30,-0.8592607911487261,97.59,27.3,42.5,2.96,0.45,0.0,-1.215248080966467,188.94
1985-07-31,-0.0794576778745017,97.89,24.93,59.81,2.48,0.49,10.55,-0.8592607911487261,204.56
1985-08-31,0.8189971499308116,97.92,24.71,70.12,1.79,0.59,58.01,-0.0794576778745017,221.94
1985-09-30,1.3614646879183845,97.89,24.81,81.94,1.66,0.65,110.74,0.8189971499308116,209.5
