DATE,SPI6(t),PS(t),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1)
1981-11-30,1.7483721757238049,98.38,23.73,83.81,1.44,0.59,221.48,2.0189385166621623
1981-12-31,1.0139987630103091,98.38,23.55,74.31,1.97,0.53,200.39,1.7483721757238049
1982-01-31,0.1250107773022405,98.33,23.96,53.69,1.98,0.5,0.0,1.0139987630103091
1982-02-28,-0.6479887932534641,98.22,26.25,41.5,2.45,0.48,0.0,0.1250107773022405
1982-03-31,-1.3630491270458556,98.11,29.85,30.5,2.36,0.46,0.0,-0.6479887932534641
1982-04-30,-1.2277842801809664,98.03,31.18,33.5,2.59,0.45,0.0,-1.3630491270458556
1982-05-31,-0.7832902873269322,98.21,28.76,34.31,2.85,0.48,10.55,-1.2277842801809664
1982-06-30,-0.2421576054502179,98.44,27.51,52.88,2.55,0.5,5.27,-0.7832902873269322
1982-07-31,0.2023363874038163,98.43,26.4,69.62,2.23,0.52,36.91,-0.2421576054502179
1982-08-31,0.7820952271227396,98.44,25.42,73.56,2.01,0.54,121.29,0.2023363874038163
1982-09-30,1.187963062134565,98.39,26.48,76.94,1.97,0.55,147.66,0.7820952271227396
1982-10-31,1.3039148300783496,98.29,27.13,81.88,1.52,0.53,121.29,1.187963062134565
1982-11-30,0.8787339161454198,98.34,24.9,78.44,1.7,0.5,168.75,1.3039148300783496
1982-12-31,0.3376012342687053,98.37,24.46,70.62,1.87,0.48,116.02,0.8787339161454198
1983-01-31,-0.1068927585853289,98.64,21.58,46.69,2.34,0.46,68.55,0.3376012342687053
1983-02-28,-0.72531440335504,98.27,28.45,32.31,3.59,0.45,5.27,-0.1068927585853289
1983-03-31,-1.1504953172879695,98.21,29.61,23.12,2.71,0.45,0.0,-0.72531440335504
1983-04-30,-1.3630491270458558,98.0,33.12,22.25,3.27,0.44,0.0,-1.1504953172879695
1983-05-31,-1.0924827861074986,98.04,32.01,18.06,2.3,0.44,0.0,-1.3630491270458558
1983-06-30,-0.2228445265291135,98.37,27.28,38.62,2.84,0.52,0.0,-1.0924827861074986
1983-07-31,0.414890197161702,98.38,26.64,54.19,2.21,0.56,10.55,-0.2228445265291135
1983-08-31,0.801408306043844,98.51,26.37,77.81,2.0,0.55,79.1,0.414890197161702
1983-09-30,1.53578171875734,98.42,26.07,79.81,1.82,0.58,237.3,0.801408306043844
1983-10-31,1.497118913706552,98.36,26.69,77.69,1.66,0.55,174.02,1.53578171875734
1983-11-30,1.2072394938470905,98.41,26.82,79.0,1.75,0.51,105.47,1.497118913706552
1983-12-31,0.3376012342687053,98.37,25.94,59.69,1.86,0.48,200.39,1.2072394938470905
1984-01-31,-0.3001334894221104,98.35,23.95,42.19,1.9,0.46,0.0,0.3376012342687053
1984-02-29,-0.6866515983042523,98.13,26.62,36.81,2.52,0.45,0.0,-0.3001334894221104
1984-03-31,-1.4210250110177478,97.96,31.09,26.81,2.66,0.45,0.0,-0.6866515983042523
1984-04-30,-1.305073243073963,97.97,31.84,21.69,2.58,0.44,0.0,-1.4210250110177478
1984-05-31,-0.8219164451691412,98.09,28.42,33.56,3.09,0.46,0.0,-1.305073243073963
1984-06-30,-0.4160852573658951,98.29,27.91,47.12,2.77,0.48,0.0,-0.8219164451691412
1984-07-31,0.1056976983811359,98.31,26.91,70.5,2.33,0.49,31.64,-0.4160852573658951
1984-08-31,0.5115288861843823,98.37,26.68,70.56,2.1,0.49,131.84,0.1056976983811359
1984-09-30,1.1686133360048812,98.32,25.87,72.25,1.88,0.52,110.74,0.5115288861843823
1984-10-31,1.2265892199767736,98.26,26.72,74.88,1.79,0.53,142.38,1.1686133360048812
1984-11-30,0.7434324220719515,98.27,27.19,80.62,1.71,0.49,110.74,1.2265892199767736
1984-12-31,0.3376012342687051,98.29,24.12,70.44,1.83,0.47,179.3,0.7434324220719515
1985-01-31,-0.1841817214783258,98.22,26.47,44.25,2.34,0.45,47.46,0.3376012342687051
