DATE,SPI6(t),PS(t-1),T2M(t),RH2M(t-2),WS2M(t-1),GWETPROF(t),PRECTOTCORR_SUM(t-3),SPI6(t-1),WD2M(t-3)
1981-11-30,1.1629905915872558,98.0,23.84,83.75,1.45,0.55,205.66,1.4240393278530403,224.81
1981-12-31,0.608285229979585,98.07,24.04,74.5,1.88,0.51,189.84,1.1629905915872558,217.81
1982-01-31,-0.1911339860796576,98.07,24.28,54.5,1.77,0.47,0.0,0.608285229979585,182.88
1982-02-28,-0.7621432922253788,98.02,26.08,41.88,2.31,0.45,0.0,-0.1911339860796576,82.5
1982-03-31,-1.3331525983711,97.92,29.48,35.06,2.34,0.43,0.0,-0.7621432922253788,87.12
1982-04-30,-1.1536854593478931,97.82,30.58,39.5,2.43,0.42,0.0,-1.3331525983711,44.0
1982-05-31,-0.7295044658731148,97.76,28.27,38.25,2.72,0.45,21.09,-1.1536854593478931,81.75
1982-06-30,-0.1747991042654439,97.94,26.8,56.31,2.34,0.48,5.27,-0.7295044658731148,113.38
1982-07-31,0.2004391183190201,98.17,25.98,71.06,2.05,0.51,58.01,-0.1747991042654439,224.56
1982-08-31,0.7062017090363768,98.14,25.04,76.62,1.86,0.53,137.11,0.2004391183190201,223.5
1982-09-30,0.9835543898402122,98.16,26.34,77.88,1.93,0.54,179.3,0.7062017090363768,217.31
1982-10-31,1.0324971607305269,98.1,26.94,82.56,1.5,0.51,121.29,0.9835543898402122,214.75
1982-11-30,0.6083161672557482,98.0,24.89,78.0,1.8,0.48,184.57,1.0324971607305269,225.75
1982-12-31,0.0536108056480771,98.05,24.4,70.44,1.81,0.45,94.92,0.6083161672557482,209.88
1983-01-31,-0.3216274169363869,98.06,21.47,50.06,2.06,0.43,73.83,0.0536108056480771,189.0
1983-02-28,-0.8926367230821081,98.31,28.38,37.75,3.37,0.42,0.0,-0.3216274169363869,92.56
1983-03-31,-1.186293348423994,97.97,29.38,27.44,2.51,0.41,0.0,-0.8926367230821081,69.0
1983-04-30,-1.3983993137994648,97.91,32.73,28.31,2.85,0.41,0.0,-1.186293348423994,56.88
1983-05-31,-1.072103862105315,97.72,31.1,21.69,2.21,0.41,0.0,-1.3983993137994648,82.88
1983-06-30,-0.2890195278602862,97.78,26.62,41.75,2.73,0.49,0.0,-1.072103862105315,74.19
1983-07-31,0.2819897782854351,98.09,26.2,57.12,2.08,0.54,5.27,-0.2890195278602862,182.19
1983-08-31,0.6898668272221629,98.1,25.8,79.75,1.91,0.54,105.47,0.2819897782854351,207.38
1983-09-30,1.326122848796249,98.23,25.5,80.56,1.79,0.58,253.12,0.6898668272221629,221.88
1983-10-31,1.3098189042581987,98.14,26.04,79.31,1.58,0.56,184.57,1.326122848796249,220.62
1983-11-30,0.9835234525640488,98.08,26.18,81.25,1.62,0.5,131.84,1.3098189042581987,217.56
1983-12-31,0.2004391183190198,98.13,25.75,64.44,1.82,0.47,205.66,0.9835234525640488,197.19
1984-01-31,-0.3705701878267012,98.07,23.84,47.81,1.73,0.45,0.0,0.2004391183190198,130.38
1984-02-29,-0.7784472367634292,98.04,26.59,44.62,2.17,0.43,0.0,-0.3705701878267012,109.44
1984-03-31,-1.414703258337515,97.83,30.83,34.69,2.39,0.41,0.0,-0.7784472367634292,95.31
1984-04-30,-1.3331216610949368,97.68,31.13,29.81,2.48,0.41,0.0,-1.414703258337515,82.69
1984-05-31,-0.9415794939724224,97.7,27.89,39.06,2.95,0.43,0.0,-1.3331216610949368,68.88
1984-06-30,-0.6152840422782727,97.82,27.75,50.5,2.55,0.45,0.0,-0.9415794939724224,216.62
1984-07-31,-0.2074069933415446,98.01,26.38,71.88,2.25,0.46,26.37,-0.6152840422782727,216.69
1984-08-31,0.1678312292429194,98.03,26.16,70.06,1.98,0.48,126.56,-0.2074069933415446,212.06
