DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,PRECTOTCORR_SUM,SPI6
30/6/1981,97.99,28.12,71.06,220.44,2.39,0.54,226.76,-0.11121593717438054
31/7/1981,98.03,25.51,82.5,230.19,2.16,0.62,237.3,0.747892347457406
31/8/1981,98.02,25.32,84.0,231.25,1.62,0.66,242.58,1.6261160629482556
30/9/1981,98.04,25.25,84.19,222.94,1.49,0.75,184.57,2.275244235870629
31/10/1981,97.92,26.27,75.75,201.06,1.42,0.71,0.0,2.1225018063357997
30/11/1981,97.99,23.39,55.12,82.44,2.05,0.63,0.0,1.7788584924830855
31/12/1981,97.99,23.15,42.62,74.19,2.12,0.58,0.0,0.9579086626343546
31/1/1982,97.95,23.79,28.69,42.44,2.69,0.54,0.0,0.0988003780025681
28/2/1982,97.83,26.07,33.44,65.69,2.48,0.52,15.82,-0.7221494518461627
31/3/1982,97.73,29.35,36.56,72.44,2.53,0.51,10.55,-1.3521621939094726
30/4/1982,97.67,30.7,54.38,237.56,2.91,0.5,36.91,-1.218535195233707
31/5/1982,97.85,28.14,71.94,231.19,2.56,0.52,126.56,-0.7603441100967542
30/6/1982,98.07,27.27,74.12,220.81,2.21,0.53,147.66,-0.22576370845861865
31/7/1982,98.05,25.99,78.69,223.06,2.01,0.56,158.2,0.3469751479625721
31/8/1982,98.06,25.05,83.31,226.75,1.97,0.59,189.84,0.9769878900258822
30/9/1982,98.01,26.05,80.5,215.94,1.48,0.62,163.48,1.5306475190555455
31/10/1982,97.92,26.22,75.69,222.69,1.6,0.61,79.1,1.6833899485903745
30/11/1982,97.96,24.43,49.0,84.75,1.83,0.57,0.0,1.225198863453422
31/12/1982,97.98,24.18,32.31,56.75,2.52,0.53,0.0,0.6906184618152863
31/1/1983,98.24,21.68,22.19,60.94,3.82,0.51,0.0,0.1178796053940957
28/2/1983,97.89,28.44,21.31,66.75,2.88,0.5,0.0,-0.5694070223113332
31/3/1983,97.83,29.56,17.56,68.88,3.42,0.49,0.0,-1.1612613095915876
30/4/1983,97.63,32.34,43.12,208.31,2.24,0.48,21.09,-1.3712776247685365
31/5/1983,97.68,31.19,57.75,226.19,2.85,0.48,100.2,-1.0085188800567582
30/6/1983,97.99,27.04,78.19,227.25,2.2,0.56,221.48,-0.20668448106709106
31/7/1983,98.0,26.29,80.88,228.06,1.99,0.59,163.48,0.3851698062131636
31/8/1983,98.13,26.19,78.0,216.38,1.8,0.59,89.65,0.7097338926743504
30/9/1983,98.03,25.92,78.94,197.44,1.62,0.59,168.75,1.3206674073461326
31/10/1983,97.97,26.86,57.62,122.56,1.85,0.57,0.0,1.2443142943124859
30/11/1983,98.02,27.19,38.5,98.5,1.92,0.53,0.0,0.8815555496007077
31/12/1983,97.98,26.23,31.88,73.88,2.09,0.52,0.0,0.07972115061104051
31/1/1984,97.95,24.42,22.38,71.88,2.77,0.5,0.0,-0.5121331366692141
29/2/1984,97.75,26.79,18.75,55.69,2.87,0.49,0.0,-0.8366972231304008
