DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN,SPI6
31/1/1981,98.77,21.75,32.25,59.06,2.5,0.48,,,0.0,,
28/2/1981,98.56,26.19,22.19,71.06,2.54,0.44,,,0.0,,
31/3/1981,98.44,30.58,27.81,86.5,2.05,0.41,,,5.27,,
30/4/1981,98.33,31.62,41.81,201.12,2.6,0.41,,,31.64,,
31/5/1981,98.5,29.76,63.81,232.19,2.76,0.44,,,63.28,,
30/6/1981,98.65,29.24,66.88,220.25,2.53,0.48,,,226.76,,-0.09241357939774926
31/7/1981,98.71,26.22,80.5,228.06,2.12,0.59,,,226.76,,0.796504415336187
31/8/1981,98.71,25.94,82.75,226.25,1.7,0.62,,,221.48,,1.6647243724435783
30/9/1981,98.72,25.77,83.62,222.06,1.56,0.73,,,205.66,,2.4502697815313073
31/10/1981,98.6,26.53,74.88,204.44,1.38,0.66,,,0.0,,2.3262383590873945
30/11/1981,98.7,23.57,50.94,89.0,1.88,0.55,,,0.0,,2.0781755141995686
31/12/1981,98.7,23.46,35.69,79.81,2.02,0.48,,,0.0,,1.1892575194656325
31/1/1982,98.66,24.12,24.94,41.94,2.52,0.44,,,0.0,,0.3003395247316962
28/2/1982,98.53,26.64,26.62,65.75,2.46,0.42,,,10.55,,-0.526523557951445
31/3/1982,98.41,30.31,29.0,70.38,2.66,0.41,,,5.27,,-1.312068967039174
30/4/1982,98.32,31.87,46.81,234.5,2.85,0.41,,,36.91,,-1.1673787077975548
31/5/1982,98.51,29.34,66.56,229.31,2.74,0.45,,,131.84,,-0.6505549803953582
30/6/1982,98.74,28.13,70.62,218.94,2.34,0.48,,,147.66,,-0.07171554177120486
31/7/1982,98.73,26.79,76.06,223.0,2.16,0.52,,,147.66,,0.5071238968529482
31/8/1982,98.74,25.87,80.62,223.75,1.94,0.53,,,163.48,,1.1066221722748075
30/9/1982,98.69,26.83,77.56,217.31,1.56,0.55,,,110.74,,1.5200733140307974
31/10/1982,98.59,27.23,70.44,220.12,1.66,0.51,,,58.01,,1.6027870628792982
30/11/1982,98.67,24.69,43.5,89.12,1.79,0.47,,,5.27,,1.1066221722748075
31/12/1982,98.7,24.4,28.5,58.12,2.4,0.43,,,0.0,,0.5277827336506545
31/1/1983,98.98,21.69,19.88,60.25,3.54,0.41,,,0.0,,-0.05105670497349879
28/2/1983,98.6,28.43,18.69,68.31,2.76,0.41,,,0.0,,-0.6919118548196087
31/3/1983,98.53,29.6,15.94,66.5,3.19,0.4,,,0.0,,-1.1260218333733045
30/4/1983,98.3,33.31,32.38,151.38,2.18,0.4,,,15.82,,-1.291410130241468
31/5/1983,98.32,32.8,50.56,220.75,2.88,0.41,,,79.1,,-1.0019904109293913
30/6/1983,98.66,27.82,75.69,224.38,2.32,0.52,,,247.85,,-0.03039786817579273
31/7/1983,98.68,27.0,78.88,225.19,2.07,0.56,,,163.48,,0.6104572816703171
31/8/1983,98.81,26.76,76.81,214.56,1.81,0.55,,,116.02,,1.0652652978505572
30/9/1983,98.72,26.55,77.81,202.19,1.69,0.56,,,195.12,,1.8301518701405801
31/10/1983,98.68,26.53,59.75,130.12,1.65,0.53,,,0.0,,1.7681361589186233
30/11/1983,98.74,26.62,41.25,104.06,1.72,0.46,,,0.0,,1.458057602808841
31/12/1983,98.7,25.8,30.62,75.06,1.93,0.43,,,0.0,,0.4864650600552422
31/1/1984,98.68,23.94,20.56,72.75,2.6,0.41,21.95,31.21,0.0,21.63,-0.15439008979086766
29/2/1984,98.46,26.56,17.31,58.12,2.77,0.41,22.53,34.0,0.0,21.28,-0.6091981059711077
31/3/1984,98.27,31.28,28.81,284.88,2.56,0.41,45.55,36.64,0.0,22.73,-1.3740846782611307
30/4/1984,98.25,32.59,41.69,228.62,2.96,0.41,70.05,37.84,26.37,20.35,-1.2707120926149236
31/5/1984,98.38,29.4,65.44,211.81,2.89,0.43,60.76,37.7,116.02,21.53,-0.8159040764346835
30/6/1984,98.58,28.41,68.56,222.25,2.44,0.48,56.95,37.28,105.47,21.41,-0.40245293467869375
31/7/1984,98.6,27.51,70.06,206.75,2.22,0.48,66.33,37.31,110.74,19.72,0.031657043875002136
31/8/1984,98.67,27.23,72.44,209.69,1.98,0.48,67.02,37.46,79.1,19.73,0.34173559998478475
30/9/1984,98.63,26.33,78.94,210.19,1.8,0.5,69.08,36.73,174.02,19.67,1.023908423426307
31/10/1984,98.57,26.81,70.0,193.75,1.69,0.52,58.27,34.59,47.46,20.25,1.1065829714459694
30/11/1984,98.59,26.87,43.69,108.25,1.69,0.46,24.88,31.8,0.0,19.7,0.6517749552657293
