DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,CLOUD_AMT,TOA_SW_DWN,PRECTOTCORR_SUM,ALLSKY_SFC_SW_DWN,SPI6
31/1/1981,98.44,21.82,36.88,58.88,2.51,0.52,,,0.0,,
28/2/1981,98.24,26.02,27.56,74.25,2.52,0.49,,,0.0,,
31/3/1981,98.13,30.23,35.12,107.25,2.09,0.47,,,5.27,,
30/4/1981,98.03,31.19,48.62,208.5,2.63,0.46,,,31.64,,
31/5/1981,98.21,28.87,68.56,229.12,2.53,0.48,,,73.83,,
30/6/1981,98.36,28.59,69.31,217.62,2.47,0.49,,,200.39,,-0.28082041050100687
31/7/1981,98.41,25.82,81.75,228.56,2.12,0.58,,,242.58,,0.6081675752070622
31/8/1981,98.4,25.65,82.94,227.88,1.66,0.61,,,221.48,,1.4198299508135555
30/9/1981,98.42,25.45,83.81,222.56,1.53,0.7,,,200.39,,2.134890284605947
31/10/1981,98.29,26.55,74.31,200.56,1.44,0.66,,,0.0,,2.0189385166621627
30/11/1981,98.38,23.73,53.69,82.56,1.97,0.59,,,0.0,,1.7483721757238047
31/12/1981,98.38,23.55,41.5,77.19,1.98,0.53,,,0.0,,1.013998763010309
31/1/1982,98.33,23.96,30.5,44.0,2.45,0.5,,,0.0,,0.12501077730223956
28/2/1982,98.22,26.25,33.5,69.88,2.36,0.48,,,10.55,,-0.6479887932534656
31/3/1982,98.11,29.85,34.31,91.12,2.59,0.46,,,5.27,,-1.3630491270458573
30/4/1982,98.03,31.18,52.88,232.12,2.85,0.45,,,36.91,,-1.2277842801809682
31/5/1982,98.21,28.76,69.62,228.75,2.55,0.48,,,121.29,,-0.7832902873269336
30/6/1982,98.44,27.51,73.56,218.5,2.23,0.5,,,147.66,,-0.24215760545021914
31/7/1982,98.43,26.4,76.94,221.0,2.01,0.52,,,121.29,,0.20233638740381543
31/8/1982,98.44,25.42,81.88,225.06,1.97,0.54,,,168.75,,0.782095227122739
30/9/1982,98.39,26.48,78.44,217.0,1.52,0.55,,,116.02,,1.1879630621345647
31/10/1982,98.29,27.13,70.62,215.12,1.7,0.53,,,68.55,,1.3039148300783494
