DATE,PS,T2M,RH2M,WD2M,WS2M,GWETPROF,PRECTOTCORR_SUM,SPI6
30/6/1981,98.09,27.91,71.31,213.81,2.27,0.47,179.3,-0.435816903255066
31/7/1981,98.13,25.41,82.81,226.06,2.05,0.55,258.4,0.36360231280417654
31/8/1981,98.12,25.33,83.19,224.81,1.57,0.59,205.66,0.999858334378263
30/9/1981,98.13,25.24,83.75,217.81,1.48,0.66,189.84,1.5708676405239843
31/10/1981,98.0,26.34,74.5,182.88,1.45,0.62,0.0,1.4240393278530412
30/11/1981,98.07,23.84,54.5,82.5,1.88,0.55,0.0,1.1629905915872563
31/12/1981,98.07,24.04,41.88,87.12,1.77,0.51,0.0,0.6082852299795853
31/1/1982,98.02,24.28,35.06,44.0,2.31,0.47,0.0,-0.19113398607965773
28/2/1982,97.92,26.08,39.5,81.75,2.34,0.45,21.09,-0.7621432922253792
31/3/1982,97.82,29.48,38.25,113.38,2.43,0.43,5.27,-1.3331525983711008
30/4/1982,97.76,30.58,56.31,224.56,2.72,0.42,58.01,-1.1536854593478938
31/5/1982,97.94,28.27,71.06,223.5,2.34,0.45,137.11,-0.7295044658731152
30/6/1982,98.17,26.8,76.62,217.31,2.05,0.48,179.3,-0.174799104265444
31/7/1982,98.14,25.98,77.88,214.75,1.86,0.51,121.29,0.20043911831902025
31/8/1982,98.16,25.04,82.56,225.75,1.93,0.53,184.57,0.7062017090363771
30/9/1982,98.1,26.34,78.0,209.88,1.5,0.54,94.92,0.9835543898402127
31/10/1982,98.0,26.94,70.44,189.0,1.8,0.51,73.83,1.032497160730527
30/11/1982,98.05,24.89,50.06,92.56,1.81,0.48,0.0,0.6083161672557486
31/12/1982,98.06,24.4,37.75,69.0,2.06,0.45,0.0,0.05361080564807719
31/1/1983,98.31,21.47,27.44,56.88,3.37,0.43,0.0,-0.3216274169363871
28/2/1983,97.97,28.38,28.31,82.88,2.51,0.42,0.0,-0.8926367230821086
31/3/1983,97.91,29.38,21.69,74.19,2.85,0.41,0.0,-1.1862933484239946
30/4/1983,97.72,32.73,41.75,182.19,2.21,0.41,5.27,-1.3983993137994655
31/5/1983,97.78,31.1,57.12,207.38,2.73,0.41,105.47,-1.0721038621053154
30/6/1983,98.09,26.62,79.75,221.88,2.08,0.49,253.12,-0.28901952786028634
31/7/1983,98.1,26.2,80.56,220.62,1.91,0.54,184.57,0.2819897782854353
31/8/1983,98.23,25.8,79.31,217.56,1.79,0.54,131.84,0.6898668272221633
30/9/1983,98.14,25.5,81.25,197.19,1.58,0.58,205.66,1.3261228487962498
31/10/1983,98.08,26.04,64.44,130.38,1.62,0.56,0.0,1.3098189042581994
30/11/1983,98.13,26.18,47.81,109.44,1.82,0.5,0.0,0.9835234525640494
31/12/1983,98.07,25.75,44.62,95.31,1.73,0.47,0.0,0.20043911831901992
31/1/1984,98.04,23.84,34.69,82.69,2.17,0.45,0.0,-0.3705701878267014
