timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-12T05:05:12,Linear Regression,1f4b319f-9271-4d8b-a062-d6f91da40ffb,2.083823911001673,9.399827068610595e-06,4.510854789113248e-06,22.5,0.0,11.695504188537598,1.3022359218757628e-05,0,6.766750399369937e-06,1.9789109618127566e-05,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T05:05:18,Ridge,a59fdc15-a986-4cd2-b90c-145c618b0179,1.4077722189977069,6.349941657249316e-06,4.510631458383439e-06,22.5,0.0,11.695504188537598,8.79721973742562e-06,0,4.571078488362413e-06,1.3368298225788031e-05,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T05:05:33,RandomForest,9ba1f37e-27d0-4fdb-b349-14ab2944adbd,10.729954219001227,4.841079060545186e-05,4.511742512351377e-06,22.5,0.0,11.695504188537598,6.706094042501717e-05,0,3.4856513481197266e-05,0.0001019174539062,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T05:06:05,Xgboost,9377ef01-db98-409b-b569-29d3d578aaa4,27.20483013799821,0.0001227404519913,4.511715433207302e-06,22.5,0.0,11.695504188537598,0.0001700257909687,0,8.837516059202695e-05,0.0002584009515608,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T05:06:13,Lightgbm,dff3c76c-f617-4816-bdde-77277bd967dc,3.232076383996173,1.4580690936228371e-05,4.5112457763763166e-06,22.5,0.0,11.695504188537598,2.0198957512457125e-05,0,1.049723393223418e-05,3.069619144469131e-05,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T05:06:21,SVR,a4973cf0-6fb0-4c6c-86e7-afbe63d5f857,3.147294526992482,1.4197731769404823e-05,4.51109092194559e-06,22.5,0.0,11.695504188537598,1.966873693745584e-05,0,1.0221224682343796e-05,2.988996161979963e-05,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T05:30:41,Conv1D-model,103d7fd8-a2c5-41db-a37e-e99f887d1734,1455.8629923980045,0.0065683918522657,4.511682683441743e-06,22.5,0.0,11.695504188537598,0.009098928414356,0,0.004729264958835,0.013828193373191,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T06:00:07,LSTM-model,ce2bfebd-4e85-4214-a180-f1ad45ced9bc,1760.9955155009957,0.0079450669309433,4.511690609662369e-06,22.5,0.0,11.695504188537598,0.0110059203537,0,0.0057205363430229,0.0167264566967229,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T06:29:50,GRU-model,5260894c-4457-4fb9-8db3-d95851096da5,1779.379826631004,0.0080280342796757,4.511703549475251e-06,22.5,0.0,11.695504188537598,0.0111208835764309,0,0.0057802412228864,0.0169011247993173,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.1880111694336,machine,N,1.0
2024-08-12T07:04:54,Conv1d-LSTM,84f29b46-c80f-4f43-a361-9dca80b9fc69,2099.452427049997,0.0094720968940656,4.511698751552645e-06,22.5,0.0,11.695504188537598,0.0131212477818877,0,0.0068200088371978,0.0199412566190855,Morocco,MAR,casablanca-settat,,,Linux-6.5.0-45-generic-x86_64-with-glibc2.35,3.10.12,2.5.1,8,Intel(R) Core(TM) i7-6820HQ CPU @ 2.70GHz,,,-7.6133,33.5792,31.188011169433597,machine,N,1.0
